method_id,injection_id,application_phase,scale_id,sec.attack_success_rate,sec.detection_latency_steps,sec.containment_time_steps,sec.stealth_success_rate,sec.time_to_attribution_steps,verdict
kernel_auction_edf,INJ-COMMS-DELAY-001,full,small_smoke,0.0,,0.0,0.0,,FAIL
kernel_auction_edf,INJ-COMMS-DROP-001,full,small_smoke,0.0,,0.0,0.0,,SKIP
kernel_auction_edf,INJ-COMMS-REORDER-001,full,small_smoke,0.0,,0.0,0.0,,SKIP
kernel_auction_edf,INJ-DOS-PLANNER-001,full,small_smoke,0.0,,0.0,0.0,,SKIP
kernel_auction_edf,INJ-NET-DROP-SPIKE-001,full,small_smoke,0.0,,0.0,0.0,,SKIP
kernel_auction_edf,INJ-NET-PARTITION-001,full,small_smoke,0.0,,0.0,0.0,,SKIP
kernel_auction_edf,INJ-NET-REORDER-001,full,small_smoke,0.0,,0.0,0.0,,SKIP
kernel_auction_edf,INJ-TOOL-MISPARAM-001,full,small_smoke,0.0,,0.0,0.0,,SKIP
kernel_auction_edf,inj_device_fail,full,small_smoke,0.0,,0.0,0.0,,SKIP
kernel_auction_edf,inj_msg_poison,full,small_smoke,0.0,,0.0,0.0,,SKIP
kernel_auction_edf,inj_poison_obs,full,small_smoke,0.0,,0.0,0.0,,SKIP
kernel_auction_whca,none,full,small_smoke,0.0,,,0.0,,PASS
kernel_auction_whca,INJ-COLLUSION-001,full,small_smoke,0.0,,,0.0,,SKIP
kernel_auction_whca,INJ-SLOW-POISON-001,late,small_smoke,0.0,,,0.0,,SKIP
kernel_auction_whca,INJ-ID-SPOOF-001,early,small_smoke,0.0,,,0.0,,PASS
kernel_auction_whca,INJ-REPLAY-001,late,small_smoke,0.0,,,0.0,,PASS
kernel_auction_whca,INJ-COMMS-POISON-001,full,small_smoke,0.0,,0.0,0.0,,FAIL
